Rol,Kanonik_Kaynak,Yeni_Hedef,Kanonik_Durum,Neden,Uzaklastirilacaklar,Aktarilacak_Kod
Native x64 compiler,uxm31_compiler_fb.bas,uxm/core/compiler/native/uxm31_compiler_fb.bas,KANONIK_AKTIF,Kök derleme build_all.bat bunu derliyor; D@T ve gelişmiş adresleme burada var.,uxm31_compiler_fb.clean.bas; legacy/duplicates/compiler/uxm31_compiler_fb.bas,"Eski dosyalardan kod aktarılmayacak; bu dosya korunacak, sonra modüllere bölünecek."
Full runtime host,uxm31_runtime_fb_full.bas,uxm/core/runtime/uxm31_runtime_fb_full.bas,KANONIK_AKTIF,build_one.bat full runtime ile linkliyor; FP/matrix/math servislerini #Include ile bağlıyor.,uxm31_runtime_fb.bas; legacy/duplicates/runtime/uxm31_runtime_fb_full.bas,Küçük runtime sadece fallback/legacy; aktif hatta full runtime kalacak.
FP runtime services,runtime/runtime_fp_services.bas,uxm/core/runtime/services/runtime_fp_services.bas,KANONIK_MODUL,@200-239 FP servisleri burada gerçek kod halinde.,UX-FP V1/*.md belge olarak legacy; kod değil.,uxm31_runtime_fb_full.bas içindeki #Include yolu yeni klasöre göre güncellenecek.
Matrix runtime services,math_extensions/runtime/runtime_matrix_services.bas,uxm/core/runtime/services/runtime_matrix_services.bas,KANONIK_MODUL,@160-199 matrix runtime kodu burada.,Belge kopyaları ve eski matris dokümanları legacy.,MetaMatrix yönlendirmesi full runtime içinde korunacak.
Math/türev/integral runtime services,math_extensions/runtime/runtime_math_services.bas,uxm/core/runtime/services/runtime_math_services.bas,KANONIK_MODUL,"Polinom türev, integral, expression meta servisleri burada.",Aynı bilgiyi anlatan eski md/txt dosyaları legacy.,MetaMathExtra yönlendirmesi full runtime içinde korunacak.
Final interpreter/compiler source,final/uxm31_compiler_final.bas,uxm/core/compiler/final/uxm31_compiler_final.bas,KANONIK_ONARIM_HEDEFI,"JSON/trace/UIR/OPT/DIAG, final interpreter, advanced final features burada; fakat mevcut build loglarında derleme hatalı.",legacy/duplicates/ide/uxminima-vscode/tools/uxm31_compiler_final.bas,Reserved isim ve tek satır If/ElseIf hataları düzeltilmeden aktif compiler ilan edilmeyecek.
Compiler math parser additions,math_extensions/compiler/arge_parse_math_additions.bas,uxm/core/compiler/extensions/arge_parse_math_additions.bas,KANONIK_MODUL_AMA_BAGLANTI_KONTROLLU,#poly ve #expr-rpn parsing desteği burada.,Belgedeki plan metinleri.,Final compiler parse katmanına temiz include veya modül çağrısı olarak bağlanacak.
Compiler matrix parser additions,math_extensions/compiler/arge_parse_matrix_additions.bas,uxm/core/compiler/extensions/arge_parse_matrix_additions.bas,KANONIK_MODUL_AMA_BAGLANTI_KONTROLLU,#matrix benzeri matris veri başlığı/değer üretimi burada.,Belgedeki eski matrix planları.,Final compiler parse katmanına temiz include veya modül çağrısı olarak bağlanacak.
VS Code extension,ide/uxminima-vscode,uxm/ide/vscode,KANONIK_IDE,"package.json, extension.ts, toolchain.ts, internal interpreter, traceReader, memoryView mevcut.",ide/uxminima-vscode/node_modules,package.json default pathleri yeni uxm/ build ve core yollarına göre güncellenecek.
Full tool broken sources,uxm31_full_tool_fb.bas; uxm31_full_tool_fb_2.bas; legacy/duplicates/tools/uxm31_full_tool_fb.bas,uxm/legacy/corrupt_sources/full_tool/,KANONIK_DEGIL_KARANTINA,Dosyaların başında sohbet/markdown/fenced code var; doğrudan FreeBASIC kaynak değil.,Aktif kökten tamamen uzaklaştırılacak.,Sadece içindeki gerçek FreeBASIC blokları ayrı ekstrakte edilip derleme testi geçerse final/full tool modülüne aktarılır.
