Commit,Message,Files_Changed,File_Summary
808e24a,test: EXPECT_OUTPUT başlıklarını normalize etme; bozuk dosyalar onarıldı (test24 geri getirildi),12,M	tests/test01_print_A.uxm | M	tests/test05_meta_add.uxm | M	tests/test06_dynamic_meta_mul.uxm | M	tests/test09_div_mod.uxm | M	tests/test10_sin_scaled.uxm | M	tests/test12_signed_mode.uxm | M	tests/test13_status_div_zero.uxm | M	tests/test14_branch_current_zero.uxm
664b631,"Meta 44-49 parity: implement ASIN/ACOS/SQRT/SINH/COSH/TANH across FullTool, Final, VSCode; add tests and update matrix/help",11,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | A	tests/test44_asin.uxm | A	tests/test45_acos.uxm | A	tests/test46_sqrt.uxm | A	tests/test47_sinh.uxm
f683d29,"Meta 30-36 parity: add RND_RANGE/SEED/FLOAT and DIV/MOD signed/unsigned across runtime, fulltool, final, VSCode; update help and matrix",7,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | M	uxm31_full_tool_fb.bas | M	uxm31_runtime_fb.bas | M	uxm31_runtime_fb_full.bas
675a24b,"Meta 25-29 parity: add MIN/MAX/ABS/NEG/CMP to Final, FullTool, VSCode; update help and matrix; set FullTool for 92",5,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | M	uxm31_full_tool_fb.bas
ff91bcc,Meta 40-43: SIN/COS/TAN/HYPOT Final Interpreter sütununu VAR yap,2,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas
0ccc517,Meta 60-79: 62/63/67/68/69 servislerini kapat ve test ekle,11,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | A	tests/test51_meta_print_stack_pop.uxm | A	tests/test52_meta_print_hex.uxm | A	tests/test53_meta_print_bin.uxm | A	tests/test54_meta_print_char_raw.uxm
4354de7,Faz 2 hizli adim: 90..107 meta servis paritesini tamamla ve test46-50 ekle,8,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | A	tests/test46_fifo_clear.uxm | A	tests/test47_tape_sort_ascending.uxm | A	tests/test48_data_sort_descending.uxm | A	tests/test49_data_linear_search.uxm | A	tests/test50_tape_block_copy_clear.uxm | M	uxm31_full_tool_fb.bas
fd3f423,Faz 2 hizli adim: pointer meta servislerini 81..89 araliginda pariteye getir,6,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | A	tests/test45_pointer_meta_extended.uxm | M	uxm31_full_tool_fb.bas
5045bfe,Faz 2 hizli adim: core meta servis paritesi 1/2/4/6/7/8 ve test44,5,M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/uxmInterpreter.ts | A	tests/test44_meta_version_info.uxm | M	uxm31_full_tool_fb.bas
7c2222f,"Sprint 1: e/ERR standardini 4 hatta tamamla, test42-43 ekle",11,M	MASTER_TAKIP_DOKUMANI_V31.md | M	UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md | M	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | M	final/uxm31_compiler_final.bas | M	ide/uxminima-vscode/src/metaServices.ts | M	ide/uxminima-vscode/src/uxmInterpreter.ts | A	tests/test42_error_flag_set_reset.uxm | A	tests/test43_error_macro_helpers.uxm
